gene,strand,chr,gStart,gEnd
HBM,+,chr16,203891,216767
HBP1,+,chr7,106809406,106842974
HBQ1,+,chr16,230452,231180
HBS1L,-,chr6,135281516,135424194
HBZ,+,chr16,202686,204502
HBZP1,+,chr16,213121,215155
HCAR1,-,chr12,123104824,123215390
HCAR2,-,chr12,123185840,123187890
HCAR3,-,chr12,123199303,123201439
HCCAT3,+,chr19,52452387,52484620
HCCAT5,+,chr16,73126248,73127673
HCCS,+,chrX,11129421,11141198
HCFC1,-,chrX,153213004,153237258
HCFC1-AS1,+,chrX,153234776,153235538
HCFC1R1,-,chr16,3072621,3074287
HCFC2,+,chr12,104458235,104498639
HCFC2P1,+,chr13,109132574,109134165
HCG11,+,chr6,26522076,26526807
HCG14,+,chr6,28864307,28865099
HCG15,+,chr6,28953980,28955261
HCG16,+,chr6,28954577,28956313
HCG17,-,chr6,30201816,30293911
HCG18,-,chr6,30255174,30294927
HCG19P,-,chr6,30327055,30327688
HCG20,+,chr6,30734602,30760027
HCG21,-,chr6,30913756,30922639
HCG22,+,chr6,31021227,31027667
HCG23,+,chr6,32358287,32361463
HCG24,+,chr6,33112560,33115544
HCG25,+,chr6,33217311,33222766
HCG27,+,chr6,31165537,31171745
HCG4,-,chr6,29758816,29760850
HCG4B,-,chr6,29893760,29894750
HCG4P11,-,chr6,29690758,29691748
HCG4P3,-,chr6,29973898,29974893
HCG4P5,-,chr6,29909852,29910844
HCG4P7,-,chr6,29855071,29856045
HCG4P8,-,chr6,29795162,29796141
HCG9,+,chr6,29942889,29946183
HCG9P5,+,chr6,29716066,29716290
HCK,+,chr20,30639991,30689659
HCLS1,-,chr3,121350246,121379774
HCN1,-,chr5,45259349,45696253
HCN2,+,chr19,589893,617159
HCN3,+,chr1,155247374,155259639
HCN4,-,chr15,73612200,73661605
HCP5,+,chr6,31368479,31445283
HCRT,-,chr17,40336078,40337470
HCRTR1,+,chr1,32083287,32098119
HCRTR2,+,chr6,55039050,55147418
HCST,+,chr19,36393382,36395279
HDAC1,+,chr1,32757687,32799236
HDAC10,-,chr22,50683612,50689834
HDAC11,+,chr3,13521224,13547916
HDAC11-AS1,-,chr3,13518482,13521553
HDAC1P1,+,chr10,95897505,95899257
HDAC1P2,+,chr1,220799082,220801398
HDAC2,-,chr6,114254192,114332472
HDAC3,-,chr5,141000443,141016437
HDAC4,-,chr2,239969864,240323348
HDAC5,-,chr17,42154114,42201070
HDAC6,+,chrX,48659784,48683392
HDAC7,-,chr12,48176505,48226915
HDAC8,-,chrX,71549366,71792953
HDAC9,+,chr7,18126572,19042039
HDC,-,chr15,50534144,50558223
HDDC2,-,chr6,125541108,125623282
HDDC3,-,chr15,91474148,91475799
HDGF,-,chr1,156711899,156736717
HDGFL1,+,chr6,22569678,22571892
HDGFP1,+,chrX,130780648,130780899
HDHD1,-,chrX,6966961,7066231
HDHD1P1,-,chrY,17460542,17567954
HDHD1P2,-,chr1,152096914,152097556
HDHD1P3,-,chr20,31635323,31635958
HDHD2,-,chr18,44633774,44676891
HDHD3,-,chr9,116135699,116139279
HDLBP,-,chr2,242166679,242256476
HDX,-,chrX,83572882,83757487
HEATR1,-,chr1,236712305,236767804
HEATR2,+,chr7,766338,829190
HEATR3,+,chr16,50099852,50140298
HEATR4,-,chr14,73945189,74025651
HEATR5A,-,chr14,31760994,31889788
HEATR5B,-,chr2,37195526,37311485
HEATR6,-,chr17,58120555,58156292
HEBP1,-,chr12,13127798,13153207
HEBP2,+,chr6,138724668,138743334
HECA,+,chr6,139456249,139501939
HECTD1,-,chr14,31569318,31677010
HECTD2,+,chr10,93170096,93274586
HECTD3,-,chr1,45468212,45477001
HECTD4,-,chr12,112597992,112819896
HECW1,+,chr7,43152198,43605600
HECW1-IT1,+,chr7,43157495,43202786
HECW2,-,chr2,197059094,197458416
HEG1,-,chr3,124684554,124774802
HELB,+,chr12,66696325,66737423
HELLS,+,chr10,96305547,96373662
HELQ,-,chr4,84328496,84377009
HELT,+,chr4,185939995,185941958
HELZ,-,chr17,65066554,65242105
HELZ2,-,chr20,62189439,62205592
HEMGN,-,chr9,100689073,100707138
HEMK1,+,chr3,50606583,50622366
HENMT1,-,chr1,109190912,109204148
HEPACAM,-,chr11,124789089,124806308
HEPACAM2,-,chr7,92817899,92855837
HEPH,+,chrX,65382391,65488709
HEPHL1,+,chr11,93754527,93846917
HEPN1,+,chr11,124789146,124790573
HERC1,-,chr15,63900817,64126141
HERC2,-,chr15,28356186,28567298
HERC2P10,+,chr15,31107474,31136356
HERC2P2,-,chr15,23282281,23378228
HERC2P3,-,chr15,20587869,20711433
HERC2P4,-,chr16,32114566,32199434
HERC2P5,+,chr16,32752635,32787517
HERC2P7,+,chr15,23388289,23392657
HERC2P8,-,chr16,33105525,33140411
HERC2P9,+,chr15,28834638,28930410
HERC3,+,chr4,89442199,89629693
HERC4,-,chr10,69681665,69835105
HERC5,+,chr4,89378268,89427314
HERC6,+,chr4,89299891,89364263
HERPUD1,+,chr16,56965960,56977798
HERPUD2,-,chr7,35672269,35735181
HES1,+,chr3,193853934,193856521
HES2,-,chr1,6472478,6484730
HES3,+,chr1,6304252,6305638
HES4,-,chr1,934342,935552
HES5,-,chr1,2460184,2461684
HES6,-,chr2,239146908,239149303
HES7,-,chr17,8023908,8027410
HESX1,-,chr3,57231944,57260549
HEXA,-,chr15,72635775,72668817
HEXA-AS1,+,chr15,72668454,72671129
HEXB,+,chr5,73935848,74018472
HEXDC,+,chr17,80376194,80400521
HEXIM1,+,chr17,43224684,43229468
HEXIM2,+,chr17,43238067,43247407
HEY1,-,chr8,80676245,80680098
HEY2,+,chr6,126068810,126082415
HEYL,-,chr1,40089825,40105617
HFE,+,chr6,26087509,26098571
HFE2,+,chr1,145413095,145417545
HFM1,-,chr1,91726323,91870426
HGD,-,chr3,120347020,120401418
HGF,-,chr7,81328322,81399754
HGFAC,+,chr4,3443614,3451211
HGS,+,chr17,79650356,79670168
HGSNAT,+,chr8,42995556,43057998
HHAT,+,chr1,210501596,210849638
HHATL,-,chr3,42734155,42744319
HHATL-AS1,+,chr3,42744145,42748154
HHEX,+,chr10,94447945,94455403
HHIP,+,chr4,145567173,145666423
HHIP-AS1,-,chr4,145564074,145582509
HHIPL1,+,chr14,100111447,100146906
HHIPL2,-,chr1,222695602,222721445
HHLA1,-,chr8,133073733,133123406
HHLA2,+,chr3,108015376,108097132
HHLA3,+,chr1,70820488,70851022
HIAT1,+,chr1,100503653,100548933
HIATL1,+,chr9,97136833,97223324
HIATL2,-,chr9,99660348,99775862
HIBADH,-,chr7,27565061,27702614
HIBCH,-,chr2,191054461,191208919
HIC1,+,chr17,1957448,1962981
HIC2,+,chr22,21771693,21805752
HID1,-,chr17,72946838,72969261
HIF1A,+,chr14,62162231,62214976
HIF1A-AS1,-,chr14,62147759,62162541
HIF1A-AS2,-,chr14,62182276,62217815
HIF1AN,+,chr10,102288829,102319755
HIF1AP1,-,chr14,75583129,75583303
HIF3A,+,chr19,46800303,46846690
HIGD1A,-,chr3,42798669,42846023
HIGD1AP1,+,chr12,53535837,53536111
HIGD1AP10,-,chr11,64913162,64913443
HIGD1AP11,-,chr1,53538782,53539061
HIGD1AP12,+,chr1,111922913,111923193
HIGD1AP13,-,chr4,79570108,79570396
HIGD1AP14,+,chr4,110594999,110595280
HIGD1AP15,+,chr20,10315067,10315346
HIGD1AP16,+,chr20,34466398,34466655
HIGD1AP17,+,chr14,31433553,31433828
HIGD1AP18,-,chr8,77925987,77926264
HIGD1AP2,+,chr13,81847026,81847305
HIGD1AP3,+,chr5,174059935,174060212
HIGD1AP4,-,chr2,224262985,224263264
HIGD1AP5,+,chr11,18128130,18128388
HIGD1AP6,+,chr8,76214531,76214809
HIGD1AP8,+,chr12,11634317,11634590
HIGD1AP9,+,chr12,50013117,50013395
HIGD1B,+,chr17,42923721,42927848
HIGD1C,+,chr12,51347705,51364289
HIGD2A,+,chr5,175815748,175816772
HIGD2B,-,chr15,72968124,72978490
HILPDA,+,chr7,128095903,128098472
HILS1,-,chr17,48248789,48258539
HINFP,+,chr11,118992297,119006752
HINT1,-,chr5,130494720,130507428
HINT1P1,-,chr7,143009774,143010154
HINT2,-,chr9,35812957,35815351
HINT3,+,chr6,126277927,126301387
HIP1,-,chr7,75162621,75368280
HIP1R,+,chr12,123319000,123347507
HIPK1,+,chr1,114471814,114520426
HIPK2,-,chr7,139246316,139477577
HIPK3,+,chr11,33278218,33378569
HIPK4,-,chr19,40885178,40896094
HIRA,-,chr22,19318221,19435224
HIRAP1,+,chr10,25980466,25981252
HIRIP3,-,chr16,30003645,30007757
HIST1H1A,-,chr6,26017260,26018040
HIST1H1B,-,chr6,27834570,27835359
HIST1H1C,-,chr6,26055968,26056699
HIST1H1D,-,chr6,26234440,26235216
HIST1H1E,+,chr6,26156559,26157343
HIST1H1PS1,+,chr6,26195794,26195999
HIST1H1PS2,+,chr6,26016607,26016829
HIST1H1T,-,chr6,26107640,26108364
HIST1H2AA,-,chr6,25726291,25726790
HIST1H2AB,-,chr6,26033320,26033796
HIST1H2AC,+,chr6,26124373,26139344
HIST1H2AD,-,chr6,26199079,26199471
HIST1H2AE,+,chr6,26217165,26217711
HIST1H2AG,+,chr6,27100832,27103070
HIST1H2AH,+,chr6,27114861,27115317
HIST1H2AI,+,chr6,27775899,27776429
HIST1H2AJ,-,chr6,27782112,27782607
HIST1H2AK,-,chr6,27805658,27806117
HIST1H2AL,+,chr6,27833034,27833606
HIST1H2AM,-,chr6,27860477,27860963
HIST1H2APS1,+,chr6,25732725,25733055
HIST1H2APS2,-,chr6,25882254,25882623
HIST1H2APS3,+,chr6,26233350,26233483
HIST1H2APS4,-,chr6,26272421,26272768
HIST1H2APS6,-,chr13,37064215,37064578
HIST1H2BA,+,chr6,25727137,25727573
HIST1H2BB,-,chr6,26043455,26043885
HIST1H2BC,-,chr6,26115101,26124154
HIST1H2BD,+,chr6,26158349,26171577
HIST1H2BE,+,chr6,26183958,26184454
HIST1H2BF,+,chr6,26199748,26200942
HIST1H2BG,-,chr6,26216428,26216872
HIST1H2BH,+,chr6,26251879,26252303
HIST1H2BI,+,chr6,26273144,26273622
HIST1H2BJ,-,chr6,27093676,27100541
HIST1H2BK,-,chr6,27106073,27114619
HIST1H2BL,-,chr6,27775257,27775709
HIST1H2BM,+,chr6,27782822,27783267
HIST1H2BN,+,chr6,27806323,27823487
HIST1H2BO,+,chr6,27861203,27861669
HIST1H2BPS1,-,chr6,25732010,25732390
HIST1H2BPS2,-,chr6,27831840,27832179
HIST1H2BPS3,-,chr13,22057973,22058313
HIST1H3A,+,chr6,26020718,26021186
HIST1H3B,-,chr6,26031817,26032288
HIST1H3C,+,chr6,26045639,26046097
HIST1H3D,-,chr6,26197068,26199521
HIST1H3E,+,chr6,26225383,26225844
HIST1H3F,-,chr6,26250370,26250835
HIST1H3G,-,chr6,26271146,26271612
HIST1H3H,+,chr6,27777842,27778314
HIST1H3I,-,chr6,27839623,27840099
HIST1H3J,-,chr6,27858093,27860884
HIST1H3PS1,-,chr6,26322104,26322520
HIST1H4A,+,chr6,26021907,26022278
HIST1H4B,-,chr6,26027124,26027480
HIST1H4C,+,chr6,26104104,26104518
HIST1H4D,-,chr6,26188938,26189304
HIST1H4E,+,chr6,26204858,26206266
HIST1H4F,+,chr6,26240561,26240976
HIST1H4G,-,chr6,26246886,26247259
HIST1H4H,-,chr6,26281283,26285762
HIST1H4I,+,chr6,27107076,27108418
HIST1H4J,+,chr6,27791884,27792257
HIST1H4K,-,chr6,27798952,27799305
HIST1H4L,-,chr6,27840926,27841289
HIST1H4PS1,+,chr6,27774853,27775117
HIST2H2AA3,-,chr1,149813505,149814478
HIST2H2AA4,+,chr1,149822643,149823191
HIST2H2AB,-,chr1,149859019,149859466
HIST2H2AC,+,chr1,149858525,149858961
HIST2H2BA,+,chr1,120906028,120915073
HIST2H2BB,-,chr1,149369722,149399226
HIST2H2BC,-,chr1,149821760,149822339
HIST2H2BD,+,chr1,149814608,149815100
HIST2H2BE,-,chr1,149856010,149858232
HIST2H2BF,-,chr1,149754245,149783928
HIST2H3A,+,chr1,149824181,149825836
HIST2H3C,-,chr1,149811110,149812765
HIST2H3D,-,chr1,149784826,149785236
HIST2H3DP1,+,chr1,120904675,120905090
HIST2H3PS2,-,chr1,149400131,149400542
HIST2H4A,+,chr1,149804221,149811339
HIST2H4B,-,chr1,149825607,149832714
HIST3H2A,-,chr1,228645065,228645560
HIST3H2BA,-,chr1,228651804,228652327
HIST3H2BB,+,chr1,228645808,228646259
HIST3H3,-,chr1,228612546,228613026
HIST4H4,-,chr12,14920933,14924065
HIVEP1,+,chr6,12008995,12165232
HIVEP2,-,chr6,143072604,143266338
HIVEP3,-,chr1,41972036,42501596
HJURP,-,chr2,234742062,234763212
HK1,+,chr10,71029740,71161638
HK2,+,chr2,75061108,75120486
HK2P1,-,chrX,79827370,79830106
HK3,-,chr5,176307870,176326333
HKDC1,+,chr10,70980059,71027315
HKR1,+,chr19,37803739,37860267
HLA-A,+,chr6,29909037,29913661
HLA-AS1,-,chr1,221006105,221053482
HLA-B,-,chr6,31321649,31324965
HLA-C,-,chr6,31236526,31239907
HLA-DMA,-,chr6,32916390,32936871
HLA-DMB,-,chr6,32902406,32908847
HLA-DOA,-,chr6,32971955,32977389
HLA-DOB,-,chr6,32780540,32784825
HLA-DPA1,-,chr6,33032346,33048552
HLA-DPA2,-,chr6,33059530,33065072
HLA-DPA3,-,chr6,33098993,33111102
HLA-DPB1,+,chr6,33043703,33054978
HLA-DPB2,+,chr6,33080228,33102442
HLA-DQA1,+,chr6,32595956,32614839
HLA-DQA2,+,chr6,32709119,32714992
HLA-DQB1,-,chr6,32627244,32636160
HLA-DQB1-AS1,+,chr6,32627657,32628506
HLA-DQB2,-,chr6,32723875,32731311
HLA-DQB3,-,chr6,32698535,32699472
HLA-DRA,+,chr6,32407619,32412823
HLA-DRB1,-,chr6,32546546,32557625
HLA-DRB5,-,chr6,32485120,32498064
HLA-DRB6,-,chr6,32520490,32527799
HLA-DRB9,-,chr6,32427598,32441277
HLA-E,+,chr6,30457244,30461982
HLA-F,+,chr6,29690552,29706305
HLA-F-AS1,-,chr6,29694378,29716826
HLA-G,+,chr6,29794744,29798902
HLA-H,+,chr6,29855350,29858259
HLA-J,+,chr6,29974360,29977733
HLA-K,+,chr6,29894236,29897009
HLA-L,+,chr6,30227361,30260791
HLA-N,+,chr6,30319193,30319327
HLA-P,+,chr6,29768192,29770202
HLA-S,-,chr6,31349851,31350065
HLA-T,+,chr6,29864431,29865563
HLA-U,+,chr6,29901878,29902063
HLA-V,+,chr6,29758731,29765588
HLA-W,+,chr6,29924373,29926347
HLA-Z,+,chr6,32864193,32864267
HLCS,-,chr21,38123189,38362536
HLCS-IT1,-,chr21,38176285,38178585
HLF,+,chr17,53342373,53402426
HLFP1,+,chr6,132996024,132996522
HLTF,-,chr3,148747914,148804341
HLTF-AS1,+,chr3,148804119,148820610
HLX,+,chr1,221051699,221058401
HM13,+,chr20,30102231,30157370
HM13-AS1,-,chr20,30155510,30161066
HM13-IT1,+,chr20,30150969,30151879
HMBOX1,+,chr8,28747911,28922281
HMBOX1-IT1,+,chr8,28807193,28813472
HMBS,+,chr11,118955576,118964259
HMCES,+,chr3,128997671,129025029
HMCN1,+,chr1,185703683,186160085
HMCN2,+,chr9,133046882,133309510
HMG20A,+,chr15,77712754,77777949
HMG20B,+,chr19,3572775,3579086
HMGA1,+,chr6,34204650,34214008
HMGA1P1,+,chrX,26766146,26767207
HMGA1P2,+,chr4,73964539,73964862
HMGA1P3,-,chr12,110867764,110868087
HMGA1P4,-,chr9,131425413,131425857
HMGA1P5,-,chr10,77036134,77036404
HMGA1P6,+,chr13,23708313,23708703
HMGA1P7,-,chr6,134436373,134436874
HMGA1P8,-,chr2,74645249,74645569
HMGA2,+,chr12,66217911,66360075
HMGB1,-,chr13,31032884,31191734
HMGB1P1,-,chr20,56063448,56064083
HMGB1P10,+,chr22,26956492,26957054
HMGB1P11,-,chr1,171240093,171240729
HMGB1P12,+,chrX,110677655,110678252
HMGB1P13,-,chr6,133189357,133189998
HMGB1P14,+,chr14,58751491,58752116
HMGB1P15,-,chrX,50674114,50674548
HMGB1P16,+,chrX,36229213,36229752
HMGB1P17,-,chr6,135957224,135957851
HMGB1P18,+,chr1,80749037,80749655
HMGB1P19,+,chr8,124135346,124135922
HMGB1P20,-,chr6,53100419,53101095
HMGB1P21,-,chr5,77940088,77940668
HMGB1P22,+,chr5,124601221,124601344
HMGB1P23,+,chr8,29076422,29076989
HMGB1P24,-,chr17,35500531,35501387
HMGB1P25,-,chr2,9158422,9159028
HMGB1P26,-,chr1,229840981,229841608
HMGB1P27,+,chr2,192038959,192039561
HMGB1P28,-,chr4,41844171,41845967
HMGB1P29,-,chr5,123556272,123556770
HMGB1P3,+,chr2,231379738,231380353
HMGB1P30,-,chr3,148542569,148543174
HMGB1P31,+,chr2,54278471,54278897
HMGB1P32,+,chrX,97677136,97677807
HMGB1P35,+,chr5,76442393,76442990
HMGB1P36,+,chr3,70803005,70803724
HMGB1P37,-,chr9,124282095,124282703
HMGB1P38,-,chr3,80006716,80007292
HMGB1P39,-,chr6,76028817,76029696
HMGB1P4,-,chr2,171458172,171458738
HMGB1P41,-,chr8,81724377,81724816
HMGB1P42,-,chr11,120806811,120807363
HMGB1P44,+,chr4,78885094,78885665
HMGB1P45,-,chr1,50864497,50865445
HMGB1P46,-,chr8,108185428,108186037
HMGB1P47,-,chr5,50705451,50706039
HMGB1P48,+,chr1,45996599,45997811
HMGB1P5,+,chr3,22423310,22424420
HMGB1P7,+,chr10,32202071,32202682
HMGB1P8,-,chr15,89678778,89679726
HMGB1P9,+,chr2,219065157,219066111
HMGB2,-,chr4,174252846,174256276
HMGB2P1,+,chr19,1203208,1203820
HMGB3,+,chrX,150148982,150159248
HMGB3P1,-,chr20,33421378,33422265
HMGB3P10,+,chr1,100163798,100164734
HMGB3P11,+,chr2,105387740,105388343
HMGB3P12,+,chr3,26257813,26258368
HMGB3P13,+,chr3,134156447,134157053
HMGB3P14,+,chr3,133889331,133889929
HMGB3P15,-,chr4,95117091,95117664
HMGB3P16,-,chr5,111788400,111788686
HMGB3P17,-,chr5,122804475,122805123
HMGB3P18,-,chr6,122179325,122179914
HMGB3P19,-,chr6,154259568,154260127
HMGB3P2,-,chr20,34663940,34664523
HMGB3P20,-,chr7,27022387,27022986
HMGB3P21,-,chr7,96764327,96764873
HMGB3P22,+,chr5,179106033,179121782
HMGB3P23,-,chr9,31644574,31645158
HMGB3P24,-,chr9,36303496,36304921
HMGB3P26,-,chr14,103830576,103831157
HMGB3P27,+,chr17,40800196,40800756
HMGB3P3,+,chr5,6289970,6290737
HMGB3P30,+,chrX,111933143,111933748
HMGB3P31,-,chrX,134095741,134096335
HMGB3P32,+,chr16,57637049,57637609
HMGB3P4,+,chr13,100024427,100024940
HMGB3P5,+,chr10,112210387,112210998
HMGB3P6,+,chr1,164326004,164326601
HMGB3P7,+,chr13,102454228,102454838
HMGB3P8,-,chr10,118198980,118199556
HMGB3P9,-,chr1,93112605,93113187
HMGB4,+,chr1,34326076,34330392
HMGCL,-,chr1,24128375,24165110
HMGCLL1,-,chr6,55299167,55444012
HMGCR,+,chr5,74632154,74657929
HMGCS1,-,chr5,43289497,43313614
HMGCS2,-,chr1,120290619,120311528
HMGN1,-,chr21,40714241,40721573
HMGN1P10,+,chr3,136327892,136328444
HMGN1P11,+,chr4,63376187,63376489
HMGN1P12,-,chr5,70833479,70833673
HMGN1P13,-,chr5,110907799,110907936
HMGN1P14,-,chr5,111181747,111182263
HMGN1P15,-,chr5,114624733,114625027
HMGN1P16,-,chr5,147600923,147601205
HMGN1P17,+,chr5,55677608,55677902
HMGN1P18,+,chr7,120690981,120691257
HMGN1P19,+,chr7,46674212,46674544
HMGN1P2,+,chr21,33078868,33079177
HMGN1P20,+,chr10,19778030,19778329
HMGN1P24,-,chr13,96461564,96461861
HMGN1P26,-,chr15,62654228,62654530
HMGN1P28,+,chr17,58928743,58929106
HMGN1P3,-,chr14,69354502,69354801
HMGN1P30,-,chr18,55686021,55686293
HMGN1P32,-,chr19,54271225,54271807
HMGN1P33,-,chrX,9833133,9833583
HMGN1P34,-,chrX,77775090,77775683
HMGN1P35,+,chrX,68393967,68394560
HMGN1P36,+,chr2,98443711,98444013
HMGN1P37,-,chrX,154045374,154045676
HMGN1P38,+,chr15,93254977,93256105
HMGN1P4,-,chr1,182911250,182911539
HMGN1P5,-,chr1,158236543,158237110
HMGN1P6,-,chr2,207124352,207124642
HMGN1P7,-,chr3,93707478,93707790
HMGN1P8,-,chr3,167412143,167412430
HMGN1P9,+,chr3,134104039,134104336
HMGN2,+,chr1,26798941,26802463
HMGN2P10,-,chr22,42105229,42105493
HMGN2P11,+,chr7,84505870,84506272
HMGN2P13,+,chr3,152785067,152785340
HMGN2P15,-,chr17,40904898,40905817
HMGN2P16,+,chr9,15588353,15588613
HMGN2P17,+,chr1,8953468,8954210
HMGN2P18,+,chr1,155121020,155121295
HMGN2P19,+,chr1,229706279,229706543
HMGN2P20,+,chr2,24553271,24553543
HMGN2P21,+,chr2,71030289,71030558
HMGN2P22,-,chr2,101207612,101207786
HMGN2P23,-,chr2,113738743,113739011
HMGN2P24,-,chr3,40740557,40740829
HMGN2P25,-,chr3,141583849,141584121
HMGN2P26,+,chr3,167676532,167676870
HMGN2P27,-,chr5,115553723,115553992
HMGN2P28,+,chr6,2341684,2341950
HMGN2P3,-,chr16,26043860,26044132
HMGN2P30,+,chr7,42152964,42153219
HMGN2P31,+,chr9,5311444,5311716
HMGN2P32,-,chr9,110220319,110220587
HMGN2P34,-,chr10,74396255,74396523
HMGN2P35,-,chr10,98675390,98675659
HMGN2P36,-,chr11,13631910,13632318
HMGN2P38,+,chr11,73291298,73291562
HMGN2P39,+,chr13,59584466,59584738
HMGN2P4,-,chr5,75537849,75538229
HMGN2P40,+,chr15,68546887,68547277
HMGN2P41,-,chr16,35037240,35037651
HMGN2P46,+,chr15,45803334,45878488
HMGN2P47,-,chr15,67293115,67293519
HMGN2P5,+,chr15,30022917,30023189
HMGN2P6,-,chr14,25736270,25736542
HMGN2P7,-,chr3,15416880,15417152
HMGN2P8,+,chr10,85841185,85841751
HMGN2P9,+,chr22,44198424,44198652
HMGN3,-,chr6,79910962,79944406
HMGN3-AS1,+,chr6,79943435,79946514
HMGN3P1,+,chr1,152372053,152372245
HMGN4,+,chr6,26538633,26546482
HMGN5,-,chrX,80369200,80457441
HMGXB3,+,chr5,149379884,149432386
HMGXB4,+,chr22,35653445,35691800
HMHA1,+,chr19,1065922,1086627
HMHB1,+,chr5,143191726,143200284
HMMR,+,chr5,162887209,162918947
HMOX1,+,chr22,35776354,35790207
HMOX2,+,chr16,4524691,4560348
HMSD,+,chr18,61616535,61649008
HMX1,-,chr4,8847802,8873543
HMX2,+,chr10,124907638,124910188
HMX3,+,chr10,124895478,124897257
HN1,-,chr17,73131343,73164376
HN1L,+,chr16,1728257,1752281
HNF1A,+,chr12,121416346,121440315
HNF1A-AS1,-,chr12,121406416,121418768
HNF1B,-,chr17,36046435,36105237
HNF4A,+,chr20,42984340,43061485
HNF4A-AS1,-,chr20,43001386,43024346
HNF4G,+,chr8,76320149,76479078
HNF4GP1,-,chr13,56573334,56574582
HNMT,+,chr2,138721590,138773930
HNRNPA0,-,chr5,137087075,137090039
HNRNPA1,+,chr12,54673977,54680872
HNRNPA1L2,+,chr13,53191605,53217919
HNRNPA1P1,+,chr6,27490855,27492118
HNRNPA1P10,-,chr19,11776884,11777845
HNRNPA1P11,+,chr18,70285502,70286457
HNRNPA1P12,-,chr5,79654899,79655859
HNRNPA1P13,+,chr5,135764581,135765543
HNRNPA1P14,-,chr9,91025444,91026378
HNRNPA1P15,+,chr9,128357948,128358907
HNRNPA1P16,+,chr17,2210055,2211009
HNRNPA1P17,-,chr3,108044367,108045661
HNRNPA1P18,-,chr13,68875737,68877434
HNRNPA1P19,-,chr17,20674371,20674740
HNRNPA1P2,+,chr6,32292996,32293955
HNRNPA1P20,-,chr3,147884131,147885085
HNRNPA1P21,+,chr3,39376470,39377430
HNRNPA1P22,+,chr3,42930853,42931798
HNRNPA1P23,+,chr3,122036456,122037588
HNRNPA1P24,+,chr3,149717432,149718477
HNRNPA1P25,-,chrX,73692852,73693788
HNRNPA1P26,-,chrX,100110277,100111368
HNRNPA1P27,-,chrX,100142625,100143579
HNRNPA1P28,+,chrX,118354745,118355705
HNRNPA1P29,-,chr13,94047230,94048108
HNRNPA1P3,-,chr20,44374376,44374926
HNRNPA1P30,-,chr13,21512703,21523738
HNRNPA1P31,-,chr13,81193233,81194202
HNRNPA1P32,-,chr10,30806545,30807790
HNRNPA1P33,-,chr10,47133338,47133898
HNRNPA1P34,-,chr12,9180128,9181685
HNRNPA1P35,+,chr2,201927812,201928774
HNRNPA1P36,+,chr8,82720007,82720961
HNRNPA1P37,-,chr6,5609460,5610428
HNRNPA1P38,+,chr8,142469175,142470131
HNRNPA1P39,-,chr2,175174743,175175702
HNRNPA1P4,-,chr8,83203859,83204614
HNRNPA1P40,+,chr11,74065488,74066765
HNRNPA1P41,-,chr9,4944670,4945902
HNRNPA1P42,+,chr1,241082953,241083909
HNRNPA1P43,-,chr1,116399531,116400440
HNRNPA1P44,-,chr15,66108640,66109819
HNRNPA1P45,+,chr15,35692892,35693969
HNRNPA1P46,-,chr1,191115155,191116091
HNRNPA1P47,+,chr2,195052103,195053033
HNRNPA1P48,+,chr16,51679667,51681043
HNRNPA1P49,+,chr6,166748056,166748959
HNRNPA1P5,+,chr15,67920190,67921473
HNRNPA1P50,+,chr12,93277549,93278476
HNRNPA1P51,-,chr2,207284016,207284962
HNRNPA1P52,+,chr19,42333746,42334992
HNRNPA1P53,-,chr11,5592477,5593422
HNRNPA1P54,-,chr1,179416737,179426450
HNRNPA1P55,-,chr4,74804321,74805275
HNRNPA1P56,-,chr4,78909014,78909967
HNRNPA1P57,+,chr2,41370920,41384695
HNRNPA1P58,+,chr6,24002052,24002658
HNRNPA1P59,+,chr1,202880940,202881857
HNRNPA1P6,-,chr1,58513847,58514963
HNRNPA1P60,-,chr11,110658749,110659735
HNRNPA1P61,+,chr2,33861569,33862492
HNRNPA1P62,-,chr15,99824830,99825781
HNRNPA1P63,+,chr1,55002469,55003431
HNRNPA1P64,-,chr1,80916768,80917689
HNRNPA1P65,+,chr4,24773089,24774042
HNRNPA1P66,-,chr2,63978831,63979764
HNRNPA1P67,+,chr4,73672984,73673909
HNRNPA1P68,-,chr1,101406573,101407551
HNRNPA1P69,+,chr12,63665184,63666116
HNRNPA1P7,-,chr18,29991471,29993167
HNRNPA1P70,+,chr12,68429547,68430633
HNRNPA1P71,+,chr15,33304320,33305269
HNRNPA1P72,-,chr11,84256174,84257889
HNRNPA1P73,-,chr7,27368226,27369153
HNRNPA1P74,-,chr15,54612929,54613763
HNRNPA1P76,-,chr11,3994111,3995467
HNRNPA1P8,+,chr7,84612863,84613825
HNRNPA1P9,+,chr7,87150777,87151726
HNRNPA2B1,-,chr7,26229547,26241149
HNRNPA3,+,chr2,178077291,178088686
HNRNPA3P1,-,chr10,44282860,44285865
HNRNPA3P10,-,chr12,52106253,52107390
HNRNPA3P11,-,chr15,57539158,57540091
HNRNPA3P12,-,chr1,54440642,54441704
HNRNPA3P13,+,chr4,83049688,83050809
HNRNPA3P14,+,chr1,81892141,81893290
HNRNPA3P15,+,chr2,197879714,197880739
HNRNPA3P16,+,chr18,48340762,48342100
HNRNPA3P2,+,chr20,35248806,35249826
HNRNPA3P3,+,chrX,139114503,139115665
HNRNPA3P4,-,chr6,48116939,48117741
